03/13/2014 08:15:40 PM start : 2014:03:13:_20:15
03/13/2014 08:16:30 PM URL [ https://play.google.com/store/apps/collection/topgrossing ] + | applications [ 49 ]
03/13/2014 08:17:00 PM URL [ https://play.google.com/store/apps/collection/promotion_30000e3_phone_highlights ] + | applications [ 130 ]
03/13/2014 08:17:15 PM URL [ https://play.google.com/store/apps/collection/editors_choice ] + | applications [ 42 ]
03/13/2014 08:19:42 PM URL [ https://play.google.com/store/apps/category/BOOKS_AND_REFERENCE/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:20:00 PM URL [ https://play.google.com/store/apps/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:22:28 PM URL [ https://play.google.com/store/apps/category/BUSINESS/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:22:41 PM URL [ https://play.google.com/store/apps/collection/topselling_new_paid ] + | applications [ 540 ]
03/13/2014 08:23:21 PM URL [ https://play.google.com/store/apps/collection/promotion_30000e1_play_picks_apps ] + | applications [ 21 ]
03/13/2014 08:23:25 PM URL [ https://play.google.com/store/apps/category/COMICS/collection/topselling_paid ] + | applications [ 116 ]
03/13/2014 08:23:59 PM URL [ https://play.google.com/store/apps/collection/promotion_30000e0_apps_to_watch ] + | applications [ 10 ]
03/13/2014 08:26:09 PM URL [ https://play.google.com/store/apps/category/COMMUNICATION/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:26:42 PM URL [ https://play.google.com/store/apps/category/ENTERTAINMENT/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:28:53 PM URL [ https://play.google.com/store/apps/category/EDUCATION/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:29:24 PM URL [ https://play.google.com/store/apps/category/FINANCE/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:31:37 PM URL [ https://play.google.com/store/apps/category/MEDICAL/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:32:09 PM URL [ https://play.google.com/store/apps/category/HEALTH_AND_FITNESS/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:33:38 PM URL [ https://play.google.com/store/apps/category/LIBRARIES_AND_DEMO/collection/topselling_paid ] + | applications [ 203 ]
03/13/2014 08:34:24 PM URL [ https://play.google.com/store/apps/category/MUSIC_AND_AUDIO/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:36:19 PM URL [ https://play.google.com/store/apps/category/NEWS_AND_MAGAZINES/collection/topselling_paid ] + | applications [ 345 ]
03/13/2014 08:36:20 PM URL [ https://play.google.com/store/apps/category/LIFESTYLE/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:39:01 PM URL [ https://play.google.com/store/apps/category/PERSONALIZATION/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:39:02 PM URL [ https://play.google.com/store/apps/category/MEDIA_AND_VIDEO/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:40:47 PM URL [ https://play.google.com/store/apps/category/SHOPPING/collection/topselling_paid ] + | applications [ 245 ]
03/13/2014 08:41:56 PM URL [ https://play.google.com/store/apps/category/PHOTOGRAPHY/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:43:34 PM URL [ https://play.google.com/store/apps/category/SOCIAL/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:44:42 PM URL [ https://play.google.com/store/apps/category/PRODUCTIVITY/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:46:20 PM URL [ https://play.google.com/store/apps/category/SPORTS/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:46:54 PM URL [ https://play.google.com/store/apps/category/WEATHER/collection/topselling_paid ] + | applications [ 389 ]
03/13/2014 08:48:08 PM URL [ https://play.google.com/store/apps/category/GAME/collection/topgrossing ] + | applications [ 157 ]
03/13/2014 08:49:11 PM URL [ https://play.google.com/store/apps/category/TOOLS/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:50:10 PM URL [ https://play.google.com/store/apps/category/TRANSPORTATION/collection/topselling_paid ] + | applications [ 118 ]
03/13/2014 08:50:52 PM URL [ https://play.google.com/store/apps/category/TRAVEL_AND_LOCAL/collection/topselling_paid ] + | applications [ 57 ]
03/13/2014 08:50:58 PM URL [ https://play.google.com/store/apps/category/GAME/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:53:33 PM URL [ https://play.google.com/store/apps/category/BRAIN/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:53:38 PM URL [ https://play.google.com/store/apps/category/GAME/collection/topselling_new_paid ] + | applications [ 540 ]
03/13/2014 08:54:16 PM URL [ https://play.google.com/store/apps/category/CARDS/collection/topselling_paid ] + | applications [ 42 ]
03/13/2014 08:54:20 PM URL [ https://play.google.com/store/apps/collection/promotion_30000df_games_to_watch ] + | applications [ 12 ]
03/13/2014 08:55:01 PM URL [ https://play.google.com/store/apps/collection/promotion_30000e2_play_picks_games ] + | applications [ 14 ]
03/13/2014 08:57:02 PM URL [ https://play.google.com/store/apps/category/CASUAL/collection/topselling_paid ] + | applications [ 540 ]
03/13/2014 08:59:32 PM URL [ https://play.google.com/store/apps/category/RACING/collection/topselling_paid ] + | applications [ 427 ]
03/13/2014 09:02:19 PM URL [ https://play.google.com/store/apps/category/SPORTS_GAMES/collection/topselling_paid ] + | applications [ 522 ]
03/13/2014 09:02:20 PM finish : 2014:03:13:_21:02
